voltage,0.73degC,23.24degF,73.84
voltage,0.73degC,23.24degF,73.84
voltage,0.74degC,24.22degF,75.59
voltage,0.73degC,23.24degF,73.84
voltage,0.73degC,23.24degF,73.84
voltage,0.73degC,23.24degF,73.84
voltage,0.73degC,23.24degF,73.84
voltage,0.73degC,23.24degF,73.84
voltage,0.73degC,22.75degF,72.96
voltage,0.73degC,23.24degF,73.84
voltage,0.73degC,23.24degF,73.84
voltage,0.73degC,22.75degF,72.96
voltage,0.74degC,23.73degF,74.71
voltage,0.73degC,22.75degF,72.96
voltage,0.73degC,22.75degF,72.96
voltage,0.73degC,22.75degF,72.96
voltage,0.73degC,22.75degF,72.96
voltage,0.73degC,22.75degF,72.96
